beta,leakage,utility,mask_size
6.5,1.0,-66.0,10
6.5,1.0,-7.5,1
6.5,0.0,-39.0,6
6.5,1.0,-20.5,3
6.5,0.0,-26.0,4
6.5,0.0,-39.0,6
6.5,0.0,-39.0,6
6.5,9.999778782798785e-13,-32.500000000001,5
6.5,1.0,-1.0,0
6.5,0.0,-45.5,7
6.5,1.0,-7.5,1
6.5,0.0,-65.0,10
6.5,0.0,-52.0,8
6.5,0.0,-58.5,9
6.5,0.0,-65.0,10
6.5,0.0,-52.0,8
6.5,1.0,-59.5,9
6.5,0.0,-65.0,10
6.5,1.0,-14.0,2
6.5,0.0,-39.0,6
6.5,0.0,-65.0,10
beta,leakage,utility,mask_size
7.0,1.0,-71.0,10
7.0,0.0,-70.0,10
7.0,0.0,-70.0,10
7.0,1.0,-71.0,10
7.0,1.0,-71.0,10
7.0,0.0,-70.0,10
7.0,0.0,-70.0,10
7.0,1.0,-71.0,10
7.0,1.0,-71.0,10
7.0,1.0,-71.0,10
7.0,1.0,-71.0,10
7.0,1.0,-71.0,10
7.0,1.0,-57.0,8
7.0,1.0,-71.0,10
7.0,1.0,-29.0,4
7.0,1.0,-43.0,6
7.0,1.0,-64.0,9
7.0,1.0,-71.0,10
7.0,1.0,-71.0,10
7.0,1.0,-50.0,7
7.0,1.0,-71.0,10
7.0,1.0,-64.0,9
7.0,1.0,-15.0,2
7.0,1.0,-71.0,10
7.0,1.0,-71.0,10
7.0,1.0,-1.0,0
7.0,1.0,-71.0,10
7.0,1.0,-71.0,10
7.0,1.0,-71.0,10
7.0,1.0,-71.0,10
7.0,0.0,-35.0,5
7.0,9.999778782798785e-13,-35.000000000001,5
7.0,0.0,-49.0,7
7.0,0.0,-35.0,5
7.0,9.999778782798785e-13,-28.000000000001,4
7.0,1.0,-8.0,1
7.0,9.999778782798785e-13,-42.000000000001,6
7.0,1.0,-22.0,3
7.0,1.0,-1.0,0
7.0,9.999778782798785e-13,-28.000000000001,4
7.0,0.0,-63.0,9
7.0,1.0,-1.0,0
7.0,0.0,-28.0,4
7.0,1.0,-22.0,3
7.0,0.0,-70.0,10
7.0,0.0,-70.0,10
7.0,0.0,-42.0,6
7.0,0.0,-63.0,9
7.0,1.0,-64.0,9
7.0,0.0,-28.0,4
beta,leakage,utility,mask_size
7.5,1.0,-76.0,10
7.5,1.0,-53.5,7
7.5,0.0,-75.0,10
7.5,0.0,-75.0,10
7.5,1.0,-76.0,10
7.5,1.0,-61.0,8
7.5,1.0,-76.0,10
7.5,1.0,-68.5,9
7.5,0.0,-75.0,10
7.5,1.0,-1.0,0
7.5,1.0,-8.5,1
7.5,1.0,-68.5,9
7.5,1.0,-76.0,10
7.5,1.0,-76.0,10
7.5,1.0,-68.5,9
7.5,1.0,-23.5,3
7.5,1.0,-38.5,5
7.5,1.0,-61.0,8
7.5,1.0,-76.0,10
7.5,1.0,-76.0,10
7.5,1.0,-76.0,10
7.5,1.0,-46.0,6
7.5,1.0,-76.0,10
7.5,1.0,-76.0,10
7.5,1.0,-76.0,10
7.5,1.0,-53.5,7
7.5,1.0,-76.0,10
7.5,1.0,-61.0,8
7.5,1.0,-53.5,7
7.5,1.0,-76.0,10
7.5,0.0,-52.5,7
7.5,0.0,-45.0,6
7.5,0.0,-52.5,7
7.5,1.0,-16.0,2
7.5,9.999778782798785e-13,-45.000000000001,6
7.5,0.0,-45.0,6
7.5,0.0,-52.5,7
7.5,1.0,-16.0,2
7.5,0.0,-37.5,5
7.5,9.999778782798785e-13,-37.500000000001,5
7.5,1.0,-8.5,1
7.5,0.0,-52.5,7
7.5,1.0,-31.0,4
7.5,0.0,-45.0,6
7.5,1.0,-61.0,8
7.5,0.0,-75.0,10
7.5,1.0,-61.0,8
7.5,1.0,-38.5,5
7.5,0.0,-60.0,8
7.5,0.0,-75.0,10
beta,leakage,utility,mask_size
8.0,0.0,-80.0,10
8.0,0.0,-80.0,10
8.0,0.0,-80.0,10
8.0,1.0,-81.0,10
8.0,1.0,-81.0,10
8.0,0.0,-80.0,10
8.0,1.0,-73.0,9
8.0,0.0,-80.0,10
8.0,1.0,-49.0,6
8.0,0.0,-80.0,10
8.0,1.0,-57.0,7
8.0,1.0,-81.0,10
8.0,1.0,-73.0,9
8.0,1.0,-81.0,10
8.0,1.0,-9.0,1
8.0,1.0,-73.0,9
8.0,1.0,-49.0,6
8.0,1.0,-81.0,10
8.0,1.0,-81.0,10
8.0,1.0,-81.0,10
8.0,1.0,-81.0,10
8.0,1.0,-81.0,10
8.0,1.0,-81.0,10
8.0,1.0,-81.0,10
8.0,1.0,-81.0,10
8.0,1.0,-81.0,10
8.0,1.0,-81.0,10
8.0,1.0,-81.0,10
8.0,1.0,-41.0,5
8.0,1.0,-81.0,10
8.0,9.999778782798785e-13,-24.000000000001,3
8.0,1.0,-1.0,0
8.0,0.0,-40.0,5
8.0,1.0,-9.0,1
8.0,1.0,-33.0,4
8.0,1.0,-25.0,3
8.0,9.999778782798785e-13,-40.000000000001,5
8.0,9.999778782798785e-13,-40.000000000001,5
8.0,9.999778782798785e-13,-48.000000000001,6
8.0,0.0,-40.0,5
8.0,1.0,-1.0,0
8.0,0.0,-48.0,6
8.0,0.0,-56.0,7
8.0,0.0,-80.0,10
8.0,0.0,-40.0,5
8.0,0.0,-48.0,6
8.0,0.0,-64.0,8
8.0,1.0,-73.0,9
8.0,1.0,-49.0,6
8.0,0.0,-80.0,10
beta,leakage,utility,mask_size
8.5,1.0,-86.0,10
8.5,0.0,-85.0,10
8.5,0.0,-85.0,10
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-60.5,7
8.5,0.0,-85.0,10
8.5,1.0,-86.0,10
8.5,1.0,-77.5,9
8.5,1.0,-77.5,9
8.5,1.0,-43.5,5
8.5,1.0,-77.5,9
8.5,1.0,-77.5,9
8.5,1.0,-69.0,8
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-77.5,9
