alpha,leakage,utility,mask_size
17,1.0,-22.0,10
17,1.0,-22.0,10
17,0.0,-5.0,10
17,0.0,-5.0,10
17,1.0,-20.0,6
17,1.0,-22.0,10
17,1.0,-22.0,10
17,0.0,-5.0,10
17,0.0,-5.0,10
17,1.0,-22.0,10
17,1.0,-22.0,10
17,1.0,-21.5,9
17,1.0,-22.0,10
17,1.0,-22.0,10
17,1.0,-22.0,10
17,1.0,-19.5,5
17,1.0,-22.0,10
17,1.0,-22.0,10
17,1.0,-21.0,8
17,1.0,-21.5,9
17,1.0,-22.0,10
17,1.0,-22.0,10
17,1.0,-22.0,10
17,1.0,-20.5,7
17,1.0,-22.0,10
17,1.0,-22.0,10
17,1.0,-22.0,10
17,1.0,-22.0,10
17,1.0,-22.0,10
17,1.0,-18.5,3
17,9.999778782798785e-13,-2.0000000000169997,4
17,0.0,-3.5,7
17,1.0,-17.5,1
17,0.0,-3.0,6
17,1.0,-17.5,1
17,1.0,-18.5,3
17,9.999778782798785e-13,-2.5000000000169997,5
17,0.0,-2.5,5
17,0.0,-3.0,6
17,0.0,-3.0,6
17,0.0,-5.0,10
17,0.0,-4.0,8
17,0.0,-5.0,10
17,0.0,-4.5,9
17,0.0,-5.0,10
17,1.0,-18.0,2
17,0.0,-4.5,9
17,0.0,-4.0,8
17,0.0,-4.5,9
17,0.0,-4.5,9
alpha,leakage,utility,mask_size
18,0.0,-5.0,10
18,1.0,-23.0,10
18,0.0,-5.0,10
18,1.0,-23.0,10
18,1.0,-23.0,10
18,1.0,-22.0,8
18,1.0,-23.0,10
18,1.0,-23.0,10
18,1.0,-21.5,7
18,1.0,-23.0,10
18,1.0,-22.5,9
18,1.0,-23.0,10
18,1.0,-23.0,10
18,1.0,-23.0,10
18,1.0,-23.0,10
18,1.0,-22.5,9
18,1.0,-23.0,10
18,1.0,-23.0,10
18,1.0,-18.5,1
18,1.0,-21.5,7
18,1.0,-23.0,10
18,1.0,-23.0,10
18,1.0,-23.0,10
18,1.0,-23.0,10
18,1.0,-22.0,8
18,1.0,-18.0,0
18,1.0,-23.0,10
18,1.0,-23.0,10
18,1.0,-23.0,10
18,1.0,-23.0,10
18,0.0,-3.0,6
18,1.0,-19.0,2
18,0.0,-3.0,6
18,0.0,-3.5,7
18,0.0,-3.0,6
18,1.0,-19.0,2
18,1.0,-19.5,3
18,1.0,-19.0,2
18,1.0,-19.0,2
18,0.0,-2.5,5
18,0.0,-4.0,8
18,0.0,-5.0,10
18,0.0,-4.0,8
18,1.0,-19.0,2
18,0.0,-4.5,9
18,1.0,-19.0,2
18,0.0,-5.0,10
18,0.0,-3.5,7
18,1.0,-22.0,8
18,1.0,-19.5,3
alpha,leakage,utility,mask_size
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-24.0,10
19,0.0,-5.0,10
19,0.0,-4.5,9
19,1.0,-24.0,10
19,0.0,-5.0,10
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-23.0,8
19,1.0,-23.5,9
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-22.0,6
19,1.0,-23.0,8
19,1.0,-24.0,10
19,1.0,-23.0,8
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-24.0,10
19,1.0,-20.5,3
19,1.0,-24.0,10
19,1.0,-21.0,4
19,0.0,-3.5,7
19,0.0,-3.0,6
19,9.999778782798785e-13,-2.0000000000189995,4
19,9.999778782798785e-13,-3.0000000000189995,6
19,9.999778782798785e-13,-2.5000000000189995,5
19,0.0,-2.5,5
19,0.0,-3.5,7
19,1.0,-19.0,0
19,0.0,-3.5,7
19,0.0,-4.0,8
19,0.0,-2.5,5
19,0.0,-3.5,7
19,0.0,-4.5,9
19,1.0,-20.0,2
19,1.0,-19.0,0
19,0.0,-4.0,8
19,0.0,-5.0,10
19,0.0,-2.5,5
19,0.0,-4.0,8
alpha,leakage,utility,mask_size
20,0.0,-5.0,10
20,1.0,-25.0,10
20,0.0,-5.0,10
20,1.0,-25.0,10
20,1.0,-20.0,0
20,1.0,-25.0,10
20,1.0,-22.5,5
20,0.0,-5.0,10
20,1.0,-22.5,5
20,1.0,-22.5,5
20,1.0,-25.0,10
20,1.0,-24.5,9
20,1.0,-20.5,1
20,1.0,-23.5,7
20,1.0,-25.0,10
20,1.0,-24.5,9
20,1.0,-22.0,4
20,1.0,-25.0,10
20,1.0,-25.0,10
20,1.0,-22.0,4
20,1.0,-25.0,10
20,1.0,-25.0,10
20,1.0,-25.0,10
20,1.0,-25.0,10
20,1.0,-25.0,10
20,1.0,-25.0,10
20,1.0,-25.0,10
20,1.0,-25.0,10
20,1.0,-25.0,10
20,1.0,-25.0,10
20,9.999778782798785e-13,-2.5000000000199996,5
20,1.999955756559757e-12,-2.000000000039999,4
20,0.0,-3.5,7
20,0.0,-3.5,7
20,1.0,-20.0,0
20,0.0,-3.5,7
20,0.0,-3.5,7
20,0.0,-3.5,7
20,1.0,-21.0,2
20,0.0,-3.5,7
20,0.0,-3.5,7
20,0.0,-4.5,9
20,0.0,-5.0,10
20,0.0,-4.5,9
20,0.0,-5.0,10
20,0.0,-5.0,10
20,0.0,-3.5,7
20,0.0,-3.0,6
20,0.0,-4.5,9
20,0.0,-4.0,8
alpha,leakage,utility,mask_size
21,1.0,-24.0,6
21,1.0,-26.0,10
21,0.0,-5.0,10
21,0.0,-5.0,10
21,0.0,-5.0,10
21,1.0,-26.0,10
21,1.0,-25.0,8
21,1.0,-26.0,10
21,1.0,-26.0,10
