method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,tax,city,0.003271818161010742,0.0003707408905029297,0.0003771781921386719,0.0025238990783691406,0.0,Unnamed: 21,-3.0,1,3,201,3.1,epsilon_m,L0
marginal_em,tax,city,0.0047578811645507,0.0004370212554931,0.0005750656127929,0.0037457942962646,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.005063772201538,0.0005431175231933,0.0006947517395019,0.0038259029388427,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.0057361125946044,0.0009691715240478,0.0009999275207519,0.0037670135498046,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.0056867599487304,0.0006499290466308,0.0009448528289794,0.0040919780731201,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.005342960357666,0.0005831718444824,0.00077486038208,0.0039849281311035,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.0064880847930908,0.000619888305664,0.0007710456848144,0.0050971508026123,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.0062222480773925,0.0017669200897216,0.0006241798400878,0.003831148147583,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.005558967590332,0.0006041526794433,0.000943899154663,0.0040109157562255,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.00816011428833,0.0006110668182373,0.0008051395416259,0.0067439079284667,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.0052258968353271,0.0005757808685302,0.0007991790771484,0.0038509368896484,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.0045828819274902,0.0006027221679687,0.0006110668182373,0.0033690929412841,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.0066204071044921,0.0006840229034423,0.0008721351623535,0.0050642490386962,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
